24031,19818,18815,16366,14278,11884,12652,14055,14511,12255,12217,12846,13551,11548,12860,13491,12878,11087,12387,12407,12618,11944,11657,14409,12670,11061,11889,13554,12096,14124,11764,14191,13133,13276,11402,13882,11717,12641,12252,12775,12693,17895,25496,32876,74068,115079,160995,275393,449474,0,442171,270418,162904,116356,69931,35333,25750,22599,13149,15701,17801,18764,1340,1067
21148,20850,17080,14538,14008,12258,12419,12176,10659,13716,12381,11851,12436,11370,12649,12490,13947,13758,12943,11327,13831,11515,12512,12516,11664,13232,11367,12039,12098,12115,10439,11920,11460,13047,11593,11344,10681,12524,10240,11512,15775,22245,30870,68269,113127,161520,278802,444229,0,449474,272551,162313,114342,71308,30027,26877,17786,14629,11247,15024,15079,17899,1233,1059
21057,19362,16354,16925,14438,12790,12804,12573,12683,14098,11947,14506,12506,12354,11945,11210,14012,13781,11928,13057,12639,12383,11296,11032,12982,13151,11017,13192,13348,13331,12578,12539,12749,13471,12606,13213,13402,13190,10688,18612,24573,32762,71951,113993,163916,270406,451984,0,444229,275393,162785,117330,68398,34297,22411,20386,13484,15522,13979,15737,15476,20979,1648,1406
23350,19303,18054,14809,13187,13751,15027,12024,12446,11024,12270,13089,11787,13131,11610,11772,13327,13202,12628,13846,12116,14397,11989,11664,13000,11667,12479,12693,11132,13747,12348,12117,10918,11784,11042,12312,11460,12647,15982,22923,28844,71192,115137,164287,275174,445293,0,451984,278802,160995,114771,70805,30402,25894,15406,12602,12485,15868,11923,11766,15500,17432,1317,951
20589,19351,18106,14557,14521,13405,13752,12501,12949,12607,13475,11871,13918,13503,15028,13179,11983,13042,13219,11027,11579,12997,13003,12467,11391,12466,13368,10919,12268,14548,12322,14127,12330,14025,12564,12658,11233,19677,26118,32673,70135,115334,161700,275938,451105,0,445293,270406,161520,115079,66676,32863,22451,17451,13963,15339,13851,16545,13250,16165,17019,17044,1548,1800
22371,21192,17206,15275,13823,12786,12192,12929,12565,13113,10664,11863,12510,11589,11481,12633,13319,14550,12572,11662,13383,11596,13130,12947,12504,13014,12544,11854,13573,11227,11494,13544,10670,12220,11623,12325,15144,21994,30358,69783,112691,163789,278267,450186,0,451105,275174,163916,113127,74068,31747,26187,14400,12210,12436,12407,12640,15673,12536,14477,13784,18018,1529,1401
21030,17585,15787,15333,13155,10804,13416,13559,12444,12769,12246,14066,10846,12150,14059,14298,13028,13568,12982,14698,11036,11024,13251,12223,10773,11792,13207,13963,11088,11419,13160,12566,12530,13915,13164,18663,26961,33073,70778,116578,163597,275173,453398,0,450186,275938,164287,113993,68269,32876,22056,17575,12260,12682,11450,14993,13729,15531,13421,16585,16127,19557,1523,1136
24505,19487,19470,15585,15120,14280,13291,10872,13966,12438,12038,11491,11592,13147,11168,11247,12683,12741,12488,13362,12757,14234,12012,12001,12814,12017,12091,13227,12312,14019,11648,11753,12064,11124,15215,23969,31441,68164,113115,163159,272878,448087,0,453398,278267,161700,115137,71951,30870,25496,17070,12299,12420,11496,12694,13533,11985,14015,11977,13634,14420,16220,1170,1559
22958,18015,16602,13934,14743,11354,11886,13028,15044,11271,12970,13452,13875,11492,12815,15008,15011,13031,12198,13616,13295,11991,12563,13625,12588,10646,12113,12559,13016,11995,11902,13851,12862,17727,26397,35046,72326,120397,165229,275972,454951,0,448087,275173,163789,115334,71192,32762,22245,17895,11165,12502,12742,12128,12615,13802,15471,15598,11922,15885,18034,17409,1249,1422
21518,22270,17423,14649,13228,11675,14053,11707,11415,13841,12900,11241,11685,12240,12697,11334,11446,15240,11672,12265,11932,11654,12808,12892,13273,12988,12065,11119,13059,11540,12713,12416,16164,24109,31438,69373,116958,164113,276342,452477,0,454951,272878,163597,112691,70135,28844,24573,15775,12693,10999,12435,10907,12519,12425,14037,14420,15519,11459,14715,15176,17450,1590,952
